metric_name,timestamp,metric_value,check,error,error_code,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags
data_sent,1618850684,0.000000,,,,::setup,,,,,,,,,,
data_received,1618850684,0.000000,,,,::setup,,,,,,,,,,
iteration_duration,1618850684,0.155700,,,,::setup,,,,,,,,,,
vus,1618850685,1.000000,,,,,,,,,,,,,,
vus_max,1618850685,1.000000,,,,,,,,,,,,,,
vus,1618850686,1.000000,,,,,,,,,,,,,,
vus_max,1618850686,1.000000,,,,,,,,,,,,,,
vus,1618850687,1.000000,,,,,,,,,,,,,,
vus_max,1618850687,1.000000,,,,,,,,,,,,,,
http_reqs,1618850687,1.000000,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,301,,tls1.3,https://google.pl/,
http_req_duration,1618850687,54.768478,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,301,,tls1.3,https://google.pl/,
http_req_blocked,1618850687,2955.424324,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,301,,tls1.3,https://google.pl/,
http_req_connecting,1618850687,2352.944164,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,301,,tls1.3,https://google.pl/,
http_req_tls_handshaking,1618850687,151.082840,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,301,,tls1.3,https://google.pl/,
http_req_sending,1618850687,0.356600,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,301,,tls1.3,https://google.pl/,
http_req_waiting,1618850687,54.280679,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,301,,tls1.3,https://google.pl/,
http_req_receiving,1618850687,0.131199,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,301,,tls1.3,https://google.pl/,
http_reqs,1618850687,1.000000,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,302,,tls1.3,https://www.google.pl/,
http_req_duration,1618850687,62.036076,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,302,,tls1.3,https://www.google.pl/,
http_req_blocked,1618850687,98.645661,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,302,,tls1.3,https://www.google.pl/,
http_req_connecting,1618850687,22.597591,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,302,,tls1.3,https://www.google.pl/,
http_req_tls_handshaking,1618850687,46.493581,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,302,,tls1.3,https://www.google.pl/,
http_req_sending,1618850687,0.132100,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,302,,tls1.3,https://www.google.pl/,
http_req_waiting,1618850687,61.719776,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,302,,tls1.3,https://www.google.pl/,
http_req_receiving,1618850687,0.184200,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,302,,tls1.3,https://www.google.pl/,
http_reqs,1618850687,1.000000,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,200,,tls1.3,https://consent.google.pl/ml?continue=https://www.google.pl/&gl=PL&m=0&pc=shp&hl=pl&src=1,
http_req_duration,1618850687,65.942774,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,200,,tls1.3,https://consent.google.pl/ml?continue=https://www.google.pl/&gl=PL&m=0&pc=shp&hl=pl&src=1,
http_req_blocked,1618850687,99.054460,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,200,,tls1.3,https://consent.google.pl/ml?continue=https://www.google.pl/&gl=PL&m=0&pc=shp&hl=pl&src=1,
http_req_connecting,1618850687,24.905490,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,200,,tls1.3,https://consent.google.pl/ml?continue=https://www.google.pl/&gl=PL&m=0&pc=shp&hl=pl&src=1,
http_req_tls_handshaking,1618850687,45.421582,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,200,,tls1.3,https://consent.google.pl/ml?continue=https://www.google.pl/&gl=PL&m=0&pc=shp&hl=pl&src=1,
http_req_sending,1618850687,0.164800,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,200,,tls1.3,https://consent.google.pl/ml?continue=https://www.google.pl/&gl=PL&m=0&pc=shp&hl=pl&src=1,
http_req_waiting,1618850687,62.660675,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,200,,tls1.3,https://consent.google.pl/ml?continue=https://www.google.pl/&gl=PL&m=0&pc=shp&hl=pl&src=1,
http_req_receiving,1618850687,3.117299,,,,::Full Iteration::Sample,GET,https://google.pl/ GET,HTTP/2.0,tr,,200,,tls1.3,https://consent.google.pl/ml?continue=https://www.google.pl/&gl=PL&m=0&pc=shp&hl=pl&src=1,
checks,1618850687,1.000000,Request returns HTTP 200 OK,,,::Full Iteration::Sample,,,,tr,,,,,,
checks,1618850687,1.000000,Document formats returns HTML,,,::Full Iteration::Sample,,,,tr,,,,,,
Sample Trend 2,1618850687,3.336000,,,,::Full Iteration::Sample,,,,tr,,,,,,
group_duration,1618850687,3335.989173,,,,::Full Iteration::Sample,,,,tr,,,,,,
Sample Trend,1618850687,3.336000,,,,::Full Iteration,,,,tr,,,,,,
group_duration,1618850687,3336.020173,,,,::Full Iteration,,,,tr,,,,,,
data_sent,1618850687,1904.000000,,,,,,,,tr,,,,,,
data_received,1618850687,21317.000000,,,,,,,,tr,,,,,,
iteration_duration,1618850687,3336.040873,,,,,,,,tr,,,,,,
iterations,1618850687,1.000000,,,,,,,,tr,,,,,,
Total time,1618850687,3345.000000,,,,::teardown,,,,,,,,,,
data_sent,1618850687,0.000000,,,,::teardown,,,,,,,,,,
data_received,1618850687,0.000000,,,,::teardown,,,,,,,,,,
iteration_duration,1618850687,0.073000,,,,::teardown,,,,,,,,,,
